"filename", "language", "JavaScript", "JSON", "PHP", "CSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\consumirApiDetalleVenta.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 13, 15, 65
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\consumirApiProducto.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 29, 12, 100
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\consumirApiProveedor.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 12, 17, 64
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\consumirApiVenta.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 12, 17, 66
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\hacer_backup.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 6, 14
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\producos_vendidos_03_10.json", "JSON", 0, 41016, 0, 0, 0, 0, 0, 0, 0, 41016
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\productosTuGerente.json", "JSON", 0, 36932, 0, 0, 0, 0, 0, 0, 0, 36932
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\ventasTuGerente.json", "JSON", 0, 82079, 0, 0, 0, 0, 0, 0, 3, 82082
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\buscador\buscador.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 13, 17, 64
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\buscador\export_search.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 23, 7, 148
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\buscador\exportar_buscador.js", "JavaScript", 243, 0, 0, 0, 0, 0, 0, 185, 110, 538
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\buscador\navegador.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 39, 24, 111
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\buscador\search.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 7, 1, 14
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\oscar.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\peticiones.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 11, 6, 38
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\productos_no_guardados.json", "JSON", 0, 2741, 0, 0, 0, 0, 0, 0, 0, 2741
